num_leaves,coord_1,coord_2,coord_3,coord_4,coord_5,coord_6,coord_7,coord_8,coord_9
"((1:1797872.3404187001,2:1797872.3404187001):2017021.27658808,(0:2138297.8723323,3:2138297.8723323):1676595.74467448):0;",0.0,2138297.8723323,2138297.8723323,1.0,1797872.3404187001,1797872.3404187001,0.0,1676595.74467448,2017021.27658808
"(0:5024777.825512821,((1:4999999.999981,3:4999999.999981):15809.330244620776,2:5015809.329768174):8968.494909540388):0;",0.0,4999999.999981,4999999.999981,1.0,15809.330244620776,5015809.329768174,1.0,5024777.825512821,8968.494909540388
"(0:4141775.4233885165,((1:3914893.6170064,3:3914893.6170064):83810.10208478791,2:3998703.719133741):143071.70382924358):0;",0.0,3914893.6170064,3914893.6170064,1.0,83810.10208478791,3998703.719133741,1.0,4141775.4233885165,143071.70382924358
"(0:4652412.517003597,((1:3202127.6595623,3:3202127.6595623):690611.8365931205,2:3892739.495729889):759673.0203162621):0;",0.0,3202127.6595623,3202127.6595623,1.0,690611.8365931205,3892739.495729889,1.0,4652412.517003597,759673.0203162621
"((0:5241134.752107743,3:5241134.752107743):1926950.3542479968,(1:4819148.9361519,2:4819148.9361519):2348936.17020384):0;",0.0,5241134.752107743,5241134.752107743,1.0,4819148.9361519,4819148.9361519,0.0,1926950.3542479968,2348936.17020384
"(((0:4897163.120194157,3:4897163.120194157):640070.9220188444,1:5537234.042532151):2073404.25531127,2:7610638.29784342):0;",0.0,4897163.120194157,4897163.120194157,2.0,640070.9220188444,5537234.042532151,0.0,2073404.25531127,7610638.29784342
"(0:4366796.238281278,((1:3914893.6170064,2:3914893.6170064):458844.79467910744,3:4373738.411685507):-6942.173204228939):0;",0.0,3914893.6170064,3914893.6170064,1.0,458844.79467910744,4373738.411685507,3.0,4366796.238281278,-6942.173204228939
"((0:4148936.170197,2:4148936.170197):2430451.0542460834,(1:6574468.085081399,3:6574468.085081399):4919.139628704712):0;",0.0,6574468.085081399,6574468.085081399,0.0,4148936.170197,4148936.170197,1.0,2430451.0542460834,4919.139628704712
"(((0:3531914.8936036,1:3531914.8936036):1478723.4042497,3:5010638.297853299):170212.76595680002,2:5180851.0638101):0;",0.0,3531914.8936036,3531914.8936036,2.0,1478723.4042497,5010638.297853299,3.0,170212.76595680002,5180851.0638101
"((0:3558510.63828435,(1:2138297.8723323,3:2138297.8723323):1420212.76595205):360638.29787097,2:3919148.93615532):0;",0.0,2138297.8723323,2138297.8723323,2.0,3558510.63828435,1420212.76595205,1.0,360638.29787097,3919148.93615532
"(((0:4723404.255301201,1:4723404.255301201):706227.8021249758,2:5429632.057426176):167265.07787170482,3:5596897.135085114):0;",0.0,4723404.255301201,4723404.255301201,2.0,706227.8021249758,5429632.057426176,4.0,167265.07787170482,5596897.135085114
"(((0:2319148.9361614003,2:2319148.9361614003):9381.736224432434,1:2328530.672331577):434293.86553026456,3:2762824.5382873737):0;",0.0,2319148.9361614003,2319148.9361614003,0.0,9381.736224432434,2328530.672331577,4.0,434293.86553026456,2762824.5382873737
"(((0:2276595.7446722,3:2276595.7446722):746830.8465929067,1:3023426.591477873):316591.27744560543,2:3340017.869136244):0;",0.0,2276595.7446722,2276595.7446722,2.0,746830.8465929067,3023426.591477873,0.0,316591.27744560543,3340017.869136244
"((0:4904255.319130301,(1:3265957.4467960997,3:3265957.4467960997):1638297.8723342):1308510.6382929,2:6212765.9574232):0;",0.0,3265957.4467960997,3265957.4467960997,2.0,4904255.319130301,1638297.8723342,1.0,1308510.6382929,6212765.9574232
"(0:5533137.035085357,((1:3914893.6170064,3:3914893.6170064):615512.0794657462,2:4530405.696791295):1002731.3384004451):0;",0.0,3914893.6170064,3914893.6170064,1.0,615512.0794657462,4530405.696791295,1.0,5533137.035085357,1002731.3384004451
"((0:5638297.872319,3:5638297.872319):914893.6170178,(1:5340425.5318946,2:5340425.5318946):1212765.9574422):0;",0.0,5638297.872319,5638297.872319,1.0,5340425.5318946,5340425.5318946,0.0,914893.6170178,1212765.9574422
"((0:4553191.4893444,2:4553191.4893444):85478.55387201562,(1:2202127.6595660998,3:2202127.6595660998):2436542.384033294):0;",0.0,2202127.6595660998,2202127.6595660998,0.0,4553191.4893444,4553191.4893444,1.0,85478.55387201562,2436542.384033294
"(((2:3202127.6595623,3:3202127.6595623):1308510.6382929,1:4510638.2978552):2593617.0212667403,0:7104255.31912194):0;",0.0,3202127.6595623,3202127.6595623,1.0,4510638.2978552,1308510.6382929,2.0,7104255.31912194,2593617.0212667403
"(((0:7042553.191462601,3:7042553.191462601):851063.8297840001,2:7893617.021246601):181042.56968016308,1:8074659.590394848):0;",0.0,7042553.191462601,7042553.191462601,0.0,851063.8297840001,7893617.021246601,0.0,181042.56968016308,8074659.590394848
"((0:2941489.36169095,(1:1712765.9574403001,3:1712765.9574403001):1228723.40425065):660638.29786983,2:3602127.65956078):0;",0.0,1712765.9574403001,1712765.9574403001,2.0,2941489.36169095,1228723.40425065,1.0,660638.29786983,3602127.65956078
"(((0:5602836.879765944,1:5602836.879765944):555759.8514872498,2:6158596.730827661):482131.3511683807,3:6640728.081889658):0;",0.0,5602836.879765944,5602836.879765944,2.0,555759.8514872498,6158596.730827661,4.0,482131.3511683807,6640728.081889658
"(0:5612765.957425481,((1:3202127.6595623,2:3202127.6595623):1074468.0851023002,3:4276595.7446646):1336170.21276088):0;",0.0,3202127.6595623,3202127.6595623,1.0,1074468.0851023002,4276595.7446646,3.0,5612765.957425481,1336170.21276088
