SSY,HLE,NLE,HMO,SSY-HLE,SSY-NLE,HLE-NLE,SSY-HMO,HLE-HMO,NLE-HMO,SSY-HLE-NLE,SSY-HLE-HMO,SSY-NLE-HMO,HLE-NLE-HMO,topology
3202127.6595623,3289847.4148811153,3202127.6595623,3786674.4063685895,0.0,87719.75494647518,0.0,0.0,0.0,0.0,496826.9915938567,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)"
6876115.064867488,4914893.6170026,4914893.6170026,5079186.385087082,0.0,0.0,164292.76755256718,0.0,0.0,0.0,0.0,0.0,0.0,1796928.6808442357,"(((HLE,NLE),HMO),SSY)"
3861702.1276449,4832371.773385893,3861702.1276449,4144188.121260848,0.0,282485.9938287138,0.0,0.0,0.0,0.0,0.0,0.0,688183.6523378104,0.0,"(((SSY,NLE),HMO),HLE)"
4471631.2053021565,2808510.6382872,2808510.6382872,11119148.936127959,0.0,0.0,1663120.5670149568,0.0,0.0,0.0,6647517.730825804,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)"
2010638.2978647,2010638.2978647,5648936.1701913,5648936.1701913,4062579.075516477,0.0,0.0,0.0,0.0,424281.203615409,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
8015957.446778051,6379432.624443843,8142553.191458421,6379432.624443843,0.0,0.0,0.0,0.0,1636524.8223342067,0.0,0.0,126595.74468037001,0.0,0.0,"(((HLE,HMO),SSY),NLE)"
5893617.0212542,3457446.8084974997,5893617.0212542,3457446.8084974997,0.0,382978.72340280004,0.0,0.0,2819148.9361595,0.0,0.0,0.0,0.0,0.0,"((SSY,NLE),(HLE,HMO))"
2595744.6808412,2595744.6808412,6534518.403166658,3117616.089349855,521871.40808312333,0.0,0.0,0.0,0.0,0.0,0.0,3416902.313816803,0.0,0.0,"(((SSY,HLE),HMO),NLE)"
7617021.2765668,4468085.106366,4468085.106366,7617021.2765668,0.0,0.0,3283120.8797747586,134184.7094675752,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))"
6510638.2978476,8167553.191458326,8529984.47762716,6510638.2978476,0.0,0.0,0.0,1656914.8936107252,0.0,0.0,0.0,362431.28616883553,0.0,0.0,"(((SSY,HMO),HLE),NLE)"
3765957.4467942,3765957.4467942,6840425.5318889,7237395.902100158,3074468.0850947,0.0,0.0,0.0,0.0,0.0,396970.37063678936,0.0,0.0,0.0,"(((SSY,HLE),NLE),HMO)"
1914893.617014,5861702.127637301,1914893.617014,5297872.3404054,0.0,3382978.7233914,0.0,0.0,0.0,0.0,0.0,0.0,563829.7872319,0.0,"(((SSY,NLE),HMO),HLE)"
5744680.851042001,6606382.9786983,5744680.851042001,6640478.791464128,0.0,861702.1276563,0.0,0.0,0.0,0.0,34095.81284029596,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)"
